Position Code,Previous Position Code,Position Title,Department,Pay Grade
50000579,P5846,"Assistant, Administrative and Financial","General Administration, Concordia Continuing Education",GR09
50000581,P5872,"Assistant, Payroll",Payroll Services,GR09
50000582,P1681,"Administrative Assistant, Masters Research Programs",MSc and MSCM Programs,GR09
50000583,P1694,"Administrative Assistant, PHD Programs",PhD in Business Administration,GR09
50000585,P5541,Administrative Assistant,"Office of the Dean, Faculty of Fine Arts",GR09
50000587,P2775D,Administrative Assistant,Executive MBA Programme,GR09
50000588,P1730,Administrative Assistant,Goodman Institute of Investment Management,GR09
50000589,P2755A,Administrative Assistant,Co-Op Programs,GR09
50000592,P2445,Editorial Assistant,Art History,GR09
50000593,P1597,"Assistant, Graduate Program",Concordia Institute for Information Systems Engineering,GR09
50000594,P1809,Scheduling Assistant,FAS Student Academic Services,GR09
50000595,P5562,Assistant to Associate Dean Graduate,"Office of the Dean, Gina Cody School of Engineering and Computer Science",GR09
50000596,P1600,Assistant to the Associate Dean,Associate Dean Professional Graduate Programs,GR09
50000597,P4944,Assistant to the Associate Vice-President,"Office of the Vice-President, Research and Graduate Studies",GR09
50000598,P2240A,Assistant to the Principal,Liberal Arts College,GR09
50000599,P2234A,Assistant to the Principal and Graduate Program,School of Community and Public Affairs,GR09
50000600,P2238A,Assistant to the Principal,Simone de Beauvoir Institute,GR09
50000602,P5710,"Assistant, Records Management",Records Management and Archives,GR09
50000603,P4635,"Assistant, Employment",Employment And Organizational Effectiveness,GR09
50000604,,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50000607,,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50000609,P1727,"Administrative Assistant, Undergraduate Programs",Undergraduate Programs,GR09
50000679,,Assistant Buyer,Procurement Services,GR09
50000680,P5807,Assistant Buyer,Procurement Services,GR09
50000681,P5808,Assistant Buyer,Procurement Services,GR09
50000682,P5775,"Buyer and Estimator, Print Material",Print Services,GR09
50000703,,"Coordinator, Budget",Budgets and Contracts,GR09
50000741,P4407A,"Coordinator, Statistics and Collections",Student Accounts Services,GR09
50000742,P4409A,"Coordinator, Bank Reconciliations and Electronic Payment Services",Student Accounts Services,GR09
50000796,P4908,"Coordinator, Enrolment Services Events",Administration Office Management,GR09
50000801,,"Coordinator, Booking administration and system support",Event Services Administration,GR09
50000917,P2413B,Program Coordinator,Computer Science and Software Engineering,GR09
50000920,,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50000930,P4398A,Office and Social Events Coordinator,International Students Office,GR09
50000931,P1864,"Coordinator, Residence Life Admissions",Residences - Administration,GR09
50000932,P5878,Administrative Coordinator,Property Management,GR09
50000933,P5876,Administrative Coordinator,Strategic Planning and Development,GR09
50000934,P5875,Administrative Coordinator,Project Management,GR09
50000935,P5877,Administrative Coordinator,"Administrative Services, Facilities Management",GR09
50000939,P5631A,"Coordinator, Executive Training Programs",John Molson Executive Center LLL,GR09
50000940,P5464,"Coordinator, Graduate Admissions",Graduate Recruitment and Admissions,GR09
50000942,P4776,Exams Coordinator,Exams Administration,GR09
50000943,P4832,Exams Coordinator,Exams Administration,GR09
50000944,P4833,Exams Coordinator,Exams Administration,GR09
50000945,P4787,"Exams Coordinator, ACSD",Access Centre for Students with Disabilities,GR09
50000946,P2338C,"Coordinator, Graduate Program",Electrical and Computer Engineering,GR09
50000947,P2911B,"Coordinator, Graduate Program",Electrical and ComputerEngineering,GR09
50000948,P1598,"Coordinator, Graduate Program",Concordia Institute for Information Systems Engineering,GR09
50000949,P2362D,"Coordinator, Graduate Program","Mechanical, Industrial and Aerospace Engineering",GR09
50000950,P2363D,"Coordinator, Graduate Program","Mechanical, Industrial and Aerospace Engineering",GR09
50000951,P2503C,"Coordinator, Thesis",Graduate Studies,GR09
50000952,P1534A,"Coordinator, Translation Services",Translation,GR09
50001022,P1943,Administrative Coordinator,Institute for Cooperative Education,GR09
50001029,,"Coordinator, Undergraduate Services",Studio Arts,GR09
50001030,,"Coordinator, Administrative Services",Studio Arts,GR09
50001043,P4788,Administrative Assistant,Campus Wellness and Support Services,GR09
50001046,,Administrative Coordinator to the CFO,"Office of the Vice-President, Financial Services",GR09
50001497,P2984A,"Officer, Gift Processing",Gift Accounting and Gift Processing,GR09
50001498,P2987A,"Officer, Gift Processing",Gift Accounting and Gift Processing,GR09
50010911,,"Coordinator, Administrative Services",Leasing and Services,GR09
50010913,,"Operations Assistant, Residence Life",Residences - Administration,GR09
50010919,,"Coordinator, Administrative Services",Leasing and Services,GR09
50010920,,"Coordinator, Budget",Budgets and Contracts,GR09
50013145,P5942,"Coordinator, Office and Events Logistics - Student Recruitment",Welcome Centre,GR09
50013200,P5938,"Coordinator, Graduate Program",Computer Science and Software Engineering,GR09
50013238,P5953,"Operations Assistant, Residence Life",Residences - Grey Nuns,GR09
50013344,P5995,Administrative Assistant,"Office of the Dean, Faculty of Fine Arts",GR09
50013421,P7021,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50013498,P7031,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50020116,,"Assistant, Employee Services","HR Administration, HRIS and Projects",GR09
50020205,,"Coordinator, Programs",Chemical and Materials Engineering,GR09
50020224,,"Coordinator, Student Support",Birks Student Service Center,GR09
50020311,,"Coordinator, Student Support",Birks Student Service Center,GR09
50020312,,"Assistant, Archives and Digital Preservation",Records Management and Archives,GR09
50020313,,Administrative Assistant,"Office of the Dean, Faculty of Fine Arts",GR09
50020496,,Administrative Coordinator,Student Success Centre,GR09
50021000,,"Administrative Assistant, Treasury Governance",Office of the Treasurer,GR09
50000586,P5567,Administrative Coordinator,"Office of the Dean, Gina Cody School of Engineering and Computer Science",GR10
50000591,,Executive Secretary to the Dean,School of Health,GR10
50000610,P1849,Executive Secretary to the Dean,"Office of the Dean, John Molson School of Business",GR10
50000611,P1976,"Assistant, Immigration and Inclusion",Faculty Development and Inclusion,GR10
50000612,P5822,"Assistant, Pension",Benefits And Pension,GR10
50000613,P1982,Academic Governance Assistant,Graduate Studies,GR10
50000614,P4449A,Administrative Assistant,Campus Safety and Prevention Services,GR10
50000615,P5737,"Assistant, Budget","Office of the Dean, Faculty of Fine Arts",GR10
50000619,P5738,"Assistant, Budget",Administrative Services,GR10
50000620,P2007B,Financial Assistant,"Office of the Dean, Faculty of Arts and Science",GR10
50000622,P1564,Legal Assistant,Legal Services,GR10
50000623,P2267A,Assistant to the Associate Dean,Undergraduate Programs,GR10
50000624,P2718A,"Assistant to the Associate Dean, Research","Office of the Dean, Faculty of Arts and Science",GR10
50000625,P2681A,Assistant to the Associate Dean,FAS Academic Facilities,GR10
50000626,P1652,Assistant to the Code Administrator,"Office of the Dean, Faculty of Arts and Science",GR10
50000627,P2778,Executive Secretary to the Dean,"Office of the Dean, Faculty of Arts and Science",GR10
50000628,P5415,Executive Secretary to the Dean,"Office of the Dean, Gina Cody School of Engineering and Computer Science",GR10
50000629,P5520A,Executive Secretary to the Asst. VP of Prof. Ed & Valorisation du Français,Lifelong Learning,GR10
50000630,P4978,Legal Assistant,Legal Services,GR10
50000631,P1835,Administrative Assistant,"Office of the Vice-President, University Advancement",GR10
50000632,P4991,"Assistant, Pension",Benefits And Pension,GR10
50000633,P2420A,Executive Secretary to the Dean,"Office of the Dean, Faculty of Fine Arts",GR10
50000634,P5623,Executive Secretary to the Dean,Graduate Studies,GR10
50000635,P1651,"Assistant, Facilities","Operational Units, Recreation and Athletics",GR10
50000636,P2717B,"Assistant, Academic Programs",FAS Academic Programs,GR10
50000637,P1584,"Assistant, External Awards and Bursary",Financial Aid and Awards,GR10
50000745,P5257B,"Coordinator, Student Accounts Reporting",Student Accounts Services,GR10
50000746,P3472B,Expeditor,Procurement Services,GR10
50000922,,"Coordinator, Benefits",Benefits And Pension,GR10
50000923,P2956,"Coordinator, Academic Programs","Classics, Modern Languages and Linguistics",GR10
50000925,P1953,"Coordinator, Mentorship and Volunteer",Institute for Cooperative Education,GR10
50000926,P1918,"Coordinator, Conference Center and Food Services",Event Services Administration,GR10
50000927,P1938,Event Coordinator,Event Services Administration,GR10
50000928,P1939,Event Coordinator,Event Services Administration,GR10
50000953,P2505B,"Coordinator, SIP",Graduate Studies,GR10
50000954,P5851,"Coordinator, Movable Asset",Internal Experts,GR10
50000955,P4926,"Coordinator, Research Administration","Office of the Dean, Faculty of Fine Arts",GR10
50000956,P4044D,Administrative Coordinator,"Administration Services, Instructional and Information Technology Services",GR10
50000957,P3883B,Administrative Coordinator,Ellen Art Gallery,GR10
50000958,P4892,"Booking Coordinator, Cinemas",Cinemas and Events,GR10
50000959,P4488B,"Coordinator, Business Operations",Parking,GR10
50000960,P1594,Events Coordinator,Event Management,GR10
50000961,P1595,Events Coordinator,Event Management,GR10
50000962,P4116C,Editorial Coordinator,Innovation in Teaching and Learning,GR10
50000963,P1689,Events Coordinator,"Operational Units, Recreation and Athletics",GR10
50000964,P4548A,Events Coordinator,Event Services Administration,GR10
50000965,P4735,Events Coordinator,Event Services Administration,GR10
50000966,P1770,"Office and Events, Coordinator",Centre for Teaching and Learning,GR10
50000967,,"Coordinator, Facilities",School of Health,GR10
50000968,P2308D,"Coordinator, Operations Facilities","Office of the Dean, Gina Cody School of Engineering and Computer Science",GR10
50000969,P1631,"Coordinator, Special Projects and Events Planning","Office of the Dean, John Molson School of Business",GR10
50000970,P5630,"Coordinator, Visual Collections Repository Moving Image","Office of the Dean, Faculty of Fine Arts",GR10
50000971,,"Coordinator, Onboarding and Employment",Employment And Organizational Effectiveness,GR10
50000974,P2751B,"Coordinator, Academic Programs","Classics, Modern Languages and Linguistics",GR10
50000975,P2633C,"Coordinator, Academic Programs","Office of the Dean, GC  School of Engineering & Computer Science",GR10
50000977,P1798,"Coordinator, Admission and Registration","Office of the Dean, GC  School of Engineering & Computer Science",GR10
50000978,P2741A,Graduate Program Coordinator,Education,GR10
50001500,,"Officer, Event Analysis",Campus Safety and Prevention Services,GR10
50001501,,"Officer, Event Analysis",Campus Safety and Prevention Services,GR10
50001502,P5107C,Financial Officer,Research and Restricted Financial Management,GR10
50001503,P1557,Financial Officer,Research and Restricted Financial Management,GR10
50001506,P5777,Financial Officer,Research and Restricted Financial Management,GR10
50001532,,"Officer, Campus Safety - Operations",Campus Safety and Prevention Services,GR10
50001533,,"Officer, Campus Safety - Operations",Campus Safety and Prevention Services,GR10
50013219,P5975,"Assistant to the Associate Dean, Student Academic Services",FAS Student Academic Services,GR10
50013392,,"Coordinator, Marketing and Business Development Projects","General Administration, Concordia Continuing Education",GR10
50013414,P7024,Financial Officer,Office of the Provost and Vice-President Academic,GR10
50013500,P7040,"Financial Officer, Research",Research and Restricted Financial Management,GR10
50013501,P7041,Financial Officer,Research and Restricted Financial Management,GR10
50013502,P7042,Financial Officer,Research and Restricted Financial Management,GR10
50013503,P7043,Financial Officer,Research and Restricted Financial Management,GR10
50020185,,Financial Officer,Research and Restricted Financial Management,GR10
50020588,,"Accounting Assistant, Benefits and Investment Portfolios",Office of the Treasurer,GR10
50020643,,Financial Assistant,Hospitality Administration,GR10
50021001,,Events Coordinator,Event Services Administration,GR10
50021442,,Administrative Coordinator,"Office of the Dean, John Molson School of Business",GR10
50000702,P1843,Service Assistant Accounts Receivable,General Accounting,PE100-7
50013217,P5976,"Service Assistant, Accounting Services",General Accounting,PE100-7
50000391,P1912,Administrative Assistant,Graduate Diploma in Chartered Professional Accountancy (CPA),PE115-8
50000392,P5873,"Administrative Assistant, Property Management",Operations - Loyola,PE115-8
50000393,P1448A,Administrative Assistant,President Administrative Services,PE115-8
50000394,P2443B,Administrative Assistant,Student Affairs,PE115-8
50000396,P1787,"Administrative Assistant, Applied Psychology Centre",Psychology,PE115-8
50001041,P2597B,Department Assistant,Marketing,PE115-8
50001044,P5736,Administrative Assistant,Records Management and Archives,PE115-8
50010930,P5879,Administrative Assistant,Operations - SGW 1,PE115-8
50013203,P5880,Administrative Assistant,"Prog., Opt. & Ext. Contracts",PE115-8
50000398,P1914,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000399,P4536,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000400,P2499A,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000401,P2504A,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000402,P2506A,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000403,P4532,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000404,P4533,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000405,P4534,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000406,P4535,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000407,P2501A,"Assistant, Admission",Documentation and Scanning,PE130-7
50003224,P4677,Admissions Assistant,Documentation and Scanning,PE130-7
50020642,,"Assistant, Admissions",Documentation and Scanning,PE130-7
50000639,P2056C,Assistant to the Chair and Graduate Program Assistant,Philosophy,PE160-9
50000640,P1948,Assistant to the Chair and Graduate Program Assistant,Theological Studies,PE160-9
50000641,P2135A,Administrative Secretary to the Chair,Religions and Cultures,PE160-9
50000642,P2035A,Assistant to the Chair and Creative Writing Program,English,PE160-9
50000643,P2138B,Assistant to the Chair,Sociology and Anthropology,PE160-9
50000645,P2185D,Assistant to the Chair,"Health, Kinesiology and Applied Physiology",PE160-9
50000646,P5519,Assistant to the Chair,Mathematics and Statistics,PE160-9
50000647,P5618,Assistant to the Chair,Physics,PE160-9
50000648,P1613,Assistant to the Chair,Political Science,PE160-9
50000649,P1839,Assistant to the Chair,Psychology,PE160-9
50000650,P5711,Assistant to the Chair,Electrical and Computer Engineering,PE160-9
50000651,P2411A,Assistant to the Chair,Computer Science and Software Engineering,PE160-9
50000652,P2702B,Assistant to the Chair,"Building, Civil and Environmental Engineering",PE160-9
50000653,P2966,Assistant to the Chair,"Mechanical, Industrial and Aerospace Engineering",PE160-9
50000654,P2046B,Assistant to the Chair and Graduate Program Assistant,History,PE160-9
50003244,P1995,Assistant to the Chair,Education,PE160-9
50000656,P1975,Assistant to the Director,"Office of the Dean, Faculty of Arts and Science",PE180-9
50000657,P5559,Assistant to the Director,Concordia Institute for Information Systems Engineering,PE180-9
50000658,P1630,Assistant to the Director,"Mechanical, Industrial and Aerospace Engineering",PE180-9
50000660,P1548A,"Assistant, Board and Senate Administration",Office of the University Secretariat,PE182-10
50000661,P4786,Assistant to the Director,Admission Administration,PE182-10
50000662,P4852,Assistant to the Director,"Administration, Environmental Health and Safety",PE182-10
50000663,P2083A,Assistant to the Principal,School of Irish Studies,PE182-10
50000410,P4782,"Assistant, Transcript",Transcripts,PE194-5
50000411,P4783,"Assistant, Transcript",Transcripts,PE194-5
50000487,P1668,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000504,P3817A,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000505,P3824A,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000506,P4369A,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000507,P4518A,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000508,P4555,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000509,P4571,"Assistant, Health Services",Campus Wellness and Support Services,PE196-7
50000512,P1642,"Representative, Student Support",Birks Student Service Center,PE196-7
50000513,P1670,"Representative, Student Support",Birks Student Service Center,PE196-7
50000514,P4129,"Representative, Student Support",Birks Student Service Center,PE196-7
50000515,P4136,"Representative, Student Support",Birks Student Service Center,PE196-7
50000517,P4179,"Representative, Student Support",Birks Student Service Center,PE196-7
50000518,P4242,"Representative, Student Support",Birks Student Service Center,PE196-7
50000519,P4250,"Representative, Student Support",Birks Student Service Center,PE196-7
50000520,P4251A,"Representative, Student Support",Birks Student Service Center,PE196-7
50000521,P4259,"Representative, Student Support",Birks Student Service Center,PE196-7
50000522,P4426,"Representative, Student Support",Birks Student Service Center,PE196-7
50000524,P4526,"Representative, Student Support",Birks Student Service Center,PE196-7
50000709,,"Representative, Student Support",Birks Student Service Center,PE196-7
50000712,,"Representative, Student Support",Birks Student Service Center,PE196-7
50013136,P5959,"Representative, Student Support",Birks Student Service Center,PE196-7
50013248,,"Representative, Student Support",Birks Student Service Center,PE196-7
50000418,P1903,"Administrative Assistant, Co-Op Education",Institute for Cooperative Education,PE207-7
50000419,P1643,"Administrative Assistant, Co-Op Education",Institute for Cooperative Education,PE207-7
50000420,P4792,"Assistant, Department Service Team",Data Control Service Teams,PE207-7
50000421,P5774,"Assistant , Office Of The Dean",Graduate Studies,PE207-7
50000422,P5513A,"Assistant, Research Grants",Office of Research,PE207-7
50000423,P1463,"Assistant, Event Registration",Event Management,PE207-7
50000534,P3808C,"Assistant, Administrative and Events",Career and Planning Services,PE207-7
50001042,P2141B,Department Assistant,Sociology and Anthropology,PE207-7
50001048,P2212A,Department Assistant,Mathematics and Statistics,PE207-7
50013222,,Department Assistant,Campus Safety and Prevention Services,PE207-7
50020278,,"Service Assistant, Sexual Assault Resource Centre",Sexual Assault Resource Centre,PE207-7
50020391,,Department Assistant,Campus Safety and Prevention Services,PE207-7
50020495,,Department Assistant,"Office Of The Associate Vice- President, Finance and Controller",PE207-7
50000424,P5545,Office Assistant,Computer Science and Software Engineering,PE225-7
50000425,P2339B,Office Assistant,Electrical and Computer Engineering,PE225-7
50000426,P2954,Office Assistant,Concordia Institute for Information Systems Engineering,PE225-7
50000427,P2724A,Office Assistant,"Building, Civil and Environmental Engineering",PE225-7
50000428,P2361A,Office Assistant,"Mechanical, Industrial and Aerospace Engineering",PE225-7
50000431,P5841,"Assistant, Graduate Program","Health, Kinesiology and Applied Physiology",PE236-8
50000432,P2899B,"Assistant, Undergraduate Program",Philosophy,PE236-8
50000433,P1732,"Assistant, Graduate Program",Applied Human Sciences,PE236-8
50000434,P2171A,"Assistant, Graduate Program",Biology,PE236-8
50000435,P2201B,"Assistant, Graduate Program",Chemistry and Biochemistry,PE236-8
50000436,P4439,"Assistant, Graduate Program",Economics,PE236-8
50000437,P2096B,"Assistant, Graduate Program",Education,PE236-8
50000438,P2033A,"Assistant, Graduate Program",English,PE236-8
50000439,P1793,"Assistant, Graduate Program",Journalism,PE236-8
50000441,P2113C,"Assistant, Graduate Program",Political Science,PE236-8
50000442,P2123A,"Assistant, Graduate Program",Psychology,PE236-8
50000443,P2136A,"Assistant, Graduate Program",Religions and Cultures,PE236-8
50000444,P2142B,"Assistant, Graduate Program",Sociology and Anthropology,PE236-8
50000445,P2704A,"Assistant, Program","Building, Civil and Environmental Engineering",PE236-8
50000446,P2109B,"Assistant, Program","Geography, Planning & Environment",PE236-8
50000447,P2412B,"Assistant, Program",Computer Science and Software Engineering,PE236-8
50000448,P2337C,"Assistant, Program",Electrical and Computer Engineering,PE236-8
50000449,P2695B,"Assistant, Program","Building, Civil and Environmental Engineering",PE236-8
50000450,P2358C,"Assistant, Program","Mechanical, Industrial and Aerospace Engineering",PE236-8
50000451,P2909,"Assistant, Undergraduate Program",Sociology and Anthropology,PE236-8
50000452,P2713B,"Assistant, Undergraduate Program",Applied Human Sciences,PE236-8
50000453,P2172A,"Assistant, Undergraduate Program",Biology,PE236-8
50000454,P1820,"Assistant, Undergraduate Program",Communication Studies,PE236-8
50000455,P1740,"Assistant, Undergraduate Program",Education,PE236-8
50000456,P1741,"Assistant, Undergraduate Program",Education,PE236-8
50000457,P2045C,"Assistant, Undergraduate Program",History,PE236-8
50000458,P2213A,"Assistant, Undergraduate Program",Mathematics and Statistics,PE236-8
50000459,P1614,"Assistant, Undergraduate Program",Political Science,PE236-8
50000460,P2121A,"Assistant, Undergraduate Program",Psychology,PE236-8
50000461,P5587,"Assistant, Graduate Program","Geography, Planning & Environment",PE236-8
50000462,P2085B,"Assistant, Undergraduate Program",Economics,PE236-8
50000483,,Undergraduate Program Assistant,Psychology,PE236-8
50000655,P2067B,Undergraduate Program Assistant,Journalism,PE236-8
50001047,P2199A,"Assistant, Undergraduate Program",Chemistry and Biochemistry,PE236-8
50013251,P5939,"Assistant, Program",Computer Science and Software Engineering,PE236-8
50013391,P7000,"Assistant, Program","Mechanical, Industrial and Aerospace Engineering",PE236-8
50021069,P2412B,"Assistant, Program",Computer Science and Software Engineering,PE236-8
50000464,P1990,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000465,P1788,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000466,P4084B,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000467,P4095B,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000468,P4104B,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000469,P4115B,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000470,P4773,"Assistant, Graduate Service Team",Data Control Service Teams,PE247-7
50000471,P4774,"Assistant, Graduate Service Team",Data Control Service Teams,PE247-7
50000472,P4775,"Assistant, Graduate Service Team",Data Control Service Teams,PE247-7
50000473,P4082B,"Assistant, Undergraduate Service Team",Data Control Service Teams,PE247-7
50000474,P4092A,"Senior Assistant, Undergraduate Service Team",Data Control Service Teams,PE248-8
50000475,P4113B,"Senior Assistant, Undergraduate Service Team",Data Control Service Teams,PE248-8
50000476,P4195A,"Senior Assistant, Undergraduate and Graduate Service Team",Data Control Service Teams,PE248-8
50000477,P5477,"Assistant, Records Management",Advancement Information Systems,PE248-8
50000478,P5480,"Assistant, Records Management",Advancement Information Systems,PE248-8
50000479,P1804,Service Assistant,"Geography, Planning & Environment",PE254-5
50000430,P3839B,Service Assistant,Campus Wellness and Support Services,PE255-6
50000481,P2763A,Service Assistant,"Office of the Dean, Faculty of Arts and Science",PE255-6
50000482,P2752A,Service Assistant,"Classics, Modern Languages and Linguistics",PE255-6
50000485,P4564A,Service Assistant,Multi Faith and Spirituality Centre,PE255-6
50000486,P3974A,Service Assistant,International Students Office,PE255-6
50000488,P4791,Service Assistant,Campus Wellness and Support Services,PE255-6
50000489,P4869,Service Assistant,Campus Wellness and Support Services,PE255-6
50020861,,Service Assistant,Mel Hoppenheim School of Cinema,PE255-6
50000491,P5319A,Department Assistant,"Office of the Vice-President, University Advancement",PE256-7
50001051,P2710A,Department Assistant,Career Management Services,PE256-7
50000492,P4322A,Service Assistant,Administrative Services,PE260-5
